Dates,Import,Export,Production
2013-05-01,650.0,11487.0,11615.0
2013-05-02,647.704918032787,11743.327868852459,12008.11475409836
2013-05-03,645.4098360655737,11999.655737704918,12401.22950819672
2013-05-04,643.1147540983607,12255.983606557376,12794.34426229508
2013-05-05,640.8196721311475,12512.311475409835,13187.459016393443
2013-05-06,638.5245901639344,12768.639344262294,13580.573770491803
2013-05-07,636.2295081967213,13024.967213114754,13973.688524590165
2013-05-08,633.9344262295083,13281.295081967211,14366.803278688525
2013-05-09,631.639344262295,13537.622950819672,14759.918032786885
2013-05-10,629.344262295082,13793.95081967213,15153.032786885244
2013-05-11,627.0491803278688,14050.278688524588,15546.147540983606
2013-05-12,624.7540983606557,14306.606557377048,15939.262295081966
2013-05-13,622.4590163934427,14562.934426229509,16332.377049180328
2013-05-14,620.1639344262295,14819.262295081968,16725.491803278688
2013-05-15,617.8688524590164,15075.590163934425,17118.606557377047
2013-05-16,615.5737704918033,15331.918032786885,17511.72131147541
2013-05-17,613.2786885245902,15588.245901639344,17904.83606557377
2013-05-18,610.983606557377,15844.573770491803,18297.95081967213
2013-05-19,608.688524590164,16100.901639344262,18691.06557377049
2013-05-20,606.3934426229507,16357.22950819672,19084.180327868853
2013-05-21,604.0983606557377,16613.55737704918,19477.29508196721
2013-05-22,601.8032786885245,16869.885245901638,19870.40983606557
2013-05-23,599.5081967213114,17126.213114754097,20263.524590163932
2013-05-24,597.2131147540983,17382.540983606556,20656.639344262294
2013-05-25,594.9180327868853,17638.868852459018,21049.754098360656
2013-05-26,592.622950819672,17895.196721311477,21442.868852459014
2013-05-27,590.327868852459,18151.524590163935,21835.983606557376
2013-05-28,588.0327868852459,18407.852459016394,22229.09836065574
2013-05-29,585.7377049180327,18664.180327868853,22622.213114754097
2013-05-30,583.4426229508197,18920.508196721312,23015.32786885246
2013-05-31,581.1475409836065,19176.83606557377,23408.442622950817
2013-06-01,578.8524590163935,19433.16393442623,23801.557377049183
2013-06-02,576.5573770491803,19689.491803278688,24194.67213114754
2013-06-03,574.2622950819671,19945.819672131147,24587.7868852459
2013-06-04,571.967213114754,20202.147540983606,24980.90163934426
2013-06-05,569.672131147541,20458.475409836065,25374.01639344262
2013-06-06,567.3770491803277,20714.803278688523,25767.131147540982
2013-06-07,565.0819672131148,20971.131147540982,26160.245901639344
2013-06-08,562.7868852459017,21227.45901639344,26553.360655737702
2013-06-09,560.4918032786884,21483.7868852459,26946.475409836065
2013-06-10,558.1967213114754,21740.11475409836,27339.590163934427
2013-06-11,555.9016393442622,21996.442622950817,27732.70491803279
2013-06-12,553.6065573770492,22252.77049180328,28125.819672131143
2013-06-13,551.311475409836,22509.09836065574,28518.934426229505
2013-06-14,549.0163934426229,22765.426229508194,28912.049180327864
2013-06-15,546.7213114754098,23021.754098360652,29305.163934426226
2013-06-16,544.4262295081967,23278.081967213115,29698.278688524588
2013-06-17,542.1311475409835,23534.409836065573,30091.39344262295
2013-06-18,539.8360655737705,23790.737704918032,30484.508196721312
2013-06-19,537.5409836065573,24047.06557377049,30877.622950819674
2013-06-20,535.2459016393442,24303.39344262295,31270.73770491803
2013-06-21,532.950819672131,24559.72131147541,31663.85245901639
2013-06-22,530.655737704918,24816.049180327867,32056.967213114753
2013-06-23,528.360655737705,25072.377049180326,32450.081967213115
2013-06-24,526.0655737704918,25328.70491803279,32843.19672131148
2013-06-25,523.7704918032787,25585.032786885247,33236.311475409835
2013-06-26,521.4754098360655,25841.360655737702,33629.42622950819
2013-06-27,519.1803278688524,26097.68852459016,34022.54098360655
2013-06-28,516.8852459016393,26354.016393442624,34415.65573770492
2013-06-29,514.5901639344262,26610.344262295082,34808.770491803276
2013-06-30,512.2950819672132,26866.67213114754,35201.88524590164
2013-07-01,510.0,27123.0,35595.0
2013-07-02,559.8913043478261,27763.141304347828,35561.79347826087
2013-07-03,609.7826086956522,28403.282608695656,35528.58695652174
2013-07-04,659.6739130434784,29043.42391304348,35495.38043478261
2013-07-05,709.5652173913045,29683.56521739131,35462.17391304349
2013-07-06,759.4565217391305,30323.706521739132,35428.96739130435
2013-07-07,809.3478260869566,30963.84782608696,35395.76086956522
2013-07-08,859.2391304347827,31603.989130434784,35362.55434782609
2013-07-09,909.1304347826087,32244.13043478261,35329.34782608696
2013-07-10,959.0217391304349,32884.27173913044,35296.14130434783
2013-07-11,1008.913043478261,33524.413043478264,35262.934782608696
2013-07-12,1058.804347826087,34164.554347826095,35229.72826086957
2013-07-13,1108.6956521739132,34804.69565217392,35196.52173913044
2013-07-14,1158.5869565217392,35444.83695652174,35163.315217391304
2013-07-15,1208.4782608695652,36084.97826086957,35130.108695652176
2013-07-16,1258.3695652173913,36725.11956521739,35096.90217391304
2013-07-17,1308.2608695652175,37365.26086956522,35063.69565217392
2013-07-18,1358.1521739130435,38005.40217391305,35030.489130434784
2013-07-19,1408.0434782608695,38645.54347826087,34997.282608695656
2013-07-20,1457.9347826086957,39285.6847826087,34964.07608695653
2013-07-21,1507.826086956522,39925.82608695653,34930.86956521739
2013-07-22,1557.717391304348,40565.96739130435,34897.663043478264
2013-07-23,1607.608695652174,41206.108695652176,34864.456521739135
2013-07-24,1657.5,41846.25,34831.25
2013-07-25,1707.3913043478265,42486.39130434783,34798.04347826087
2013-07-26,1757.2826086956525,43126.53260869566,34764.83695652174
2013-07-27,1807.1739130434785,43766.67391304349,34731.63043478261
2013-07-28,1857.0652173913045,44406.81521739131,34698.42391304348
2013-07-29,1906.9565217391305,45046.956521739135,34665.21739130435
2013-07-30,1956.8478260869565,45687.09782608696,34632.010869565216
2013-07-31,2006.7391304347825,46327.239130434784,34598.804347826095
2013-08-01,2056.630434782609,46967.380434782615,34565.59782608696
2013-08-02,2106.521739130435,47607.52173913044,34532.391304347824
2013-08-03,2156.413043478261,48247.66304347827,34499.1847826087
2013-08-04,2206.304347826087,48887.80434782609,34465.97826086957
2013-08-05,2256.195652173913,49527.94565217392,34432.77173913044
2013-08-06,2306.086956521739,50168.08695652174,34399.565217391304
2013-08-07,2355.9782608695655,50808.228260869575,34366.358695652176
2013-08-08,2405.8695652173915,51448.36956521739,34333.15217391305
2013-08-09,2455.7608695652175,52088.510869565216,34299.94565217391
2013-08-10,2505.652173913044,52728.652173913055,34266.739130434784
2013-08-11,2555.54347826087,53368.79347826087,34233.532608695656
2013-08-12,2605.434782608696,54008.9347826087,34200.32608695653
2013-08-13,2655.3260869565215,54649.07608695652,34167.11956521739
2013-08-14,2705.217391304348,55289.21739130435,34133.91304347827
2013-08-15,2755.108695652174,55929.358695652176,34100.706521739135
2013-08-16,2805.0,56569.5,34067.5
2013-08-17,2854.8913043478265,57209.64130434783,34034.29347826088
2013-08-18,2904.782608695653,57849.78260869566,34001.08695652174
2013-08-19,2954.6739130434785,58489.92391304348,33967.88043478261
