Dates,Import,Export,Production
2013-05-01,1820.0,14279.0,8025.0
2013-05-02,1798.0327868852457,14505.803278688525,8609.262295081968
2013-05-03,1776.0655737704917,14732.60655737705,9193.524590163934
2013-05-04,1754.0983606557377,14959.409836065572,9777.786885245901
2013-05-05,1732.1311475409836,15186.213114754097,10362.049180327867
2013-05-06,1710.1639344262294,15413.016393442622,10946.311475409835
2013-05-07,1688.1967213114754,15639.819672131147,11530.573770491803
2013-05-08,1666.2295081967213,15866.622950819672,12114.83606557377
2013-05-09,1644.262295081967,16093.426229508195,12699.098360655738
2013-05-10,1622.295081967213,16320.22950819672,13283.360655737704
2013-05-11,1600.327868852459,16547.032786885244,13867.62295081967
2013-05-12,1578.3606557377047,16773.83606557377,14451.885245901638
2013-05-13,1556.3934426229507,17000.639344262294,15036.147540983606
2013-05-14,1534.4262295081967,17227.442622950817,15620.409836065573
2013-05-15,1512.4590163934427,17454.24590163934,16204.67213114754
2013-05-16,1490.4918032786884,17681.049180327867,16788.93442622951
2013-05-17,1468.5245901639344,17907.852459016394,17373.196721311477
2013-05-18,1446.55737704918,18134.655737704918,17957.45901639344
2013-05-19,1424.590163934426,18361.45901639344,18541.721311475412
2013-05-20,1402.622950819672,18588.262295081964,19125.983606557376
2013-05-21,1380.655737704918,18815.06557377049,19710.245901639344
2013-05-22,1358.688524590164,19041.868852459018,20294.508196721312
2013-05-23,1336.7213114754097,19268.67213114754,20878.770491803276
2013-05-24,1314.7540983606555,19495.475409836065,21463.032786885244
2013-05-25,1292.7868852459017,19722.278688524588,22047.29508196721
2013-05-26,1270.8196721311474,19949.08196721311,22631.55737704918
2013-05-27,1248.8524590163934,20175.885245901638,23215.819672131147
2013-05-28,1226.8852459016393,20402.68852459016,23800.08196721311
2013-05-29,1204.918032786885,20629.491803278685,24384.34426229508
2013-05-30,1182.9508196721313,20856.29508196721,24968.606557377047
2013-05-31,1160.983606557377,21083.098360655735,25552.868852459018
2013-06-01,1139.016393442623,21309.901639344265,26137.131147540982
2013-06-02,1117.0491803278687,21536.70491803279,26721.393442622953
2013-06-03,1095.0819672131147,21763.50819672131,27305.655737704918
2013-06-04,1073.1147540983607,21990.311475409835,27889.91803278688
2013-06-05,1051.1475409836064,22217.11475409836,28474.18032786885
2013-06-06,1029.1803278688524,22443.91803278688,29058.44262295082
2013-06-07,1007.2131147540983,22670.72131147541,29642.70491803279
2013-06-08,985.2459016393441,22897.524590163932,30226.96721311475
2013-06-09,963.27868852459,23124.327868852455,30811.22950819672
2013-06-10,941.311475409836,23351.131147540982,31395.491803278688
2013-06-11,919.344262295082,23577.934426229505,31979.754098360652
2013-06-12,897.3770491803277,23804.737704918032,32564.016393442624
2013-06-13,875.4098360655737,24031.540983606556,33148.27868852459
2013-06-14,853.4426229508197,24258.34426229508,33732.54098360655
2013-06-15,831.4754098360656,24485.147540983602,34316.80327868852
2013-06-16,809.5081967213114,24711.95081967213,34901.06557377049
2013-06-17,787.5409836065573,24938.754098360652,35485.32786885246
2013-06-18,765.5737704918032,25165.55737704918,36069.59016393442
2013-06-19,743.6065573770492,25392.360655737706,36653.852459016394
2013-06-20,721.639344262295,25619.163934426226,37238.11475409836
2013-06-21,699.672131147541,25845.967213114753,37822.37704918033
2013-06-22,677.7049180327868,26072.770491803276,38406.639344262294
2013-06-23,655.7377049180328,26299.573770491803,38990.90163934426
2013-06-24,633.7704918032787,26526.377049180326,39575.16393442623
2013-06-25,611.8032786885246,26753.180327868853,40159.4262295082
2013-06-26,589.8360655737705,26979.983606557373,40743.68852459016
2013-06-27,567.8688524590164,27206.7868852459,41327.95081967213
2013-06-28,545.9016393442622,27433.590163934423,41912.21311475409
2013-06-29,523.9344262295082,27660.39344262295,42496.475409836065
2013-06-30,501.9672131147541,27887.196721311473,43080.737704918036
2013-07-01,480.0,28114.0,43665.0
2013-07-02,798.663043478261,28474.77173913044,43620.45652173913
2013-07-03,1117.326086956522,28835.54347826087,43575.913043478264
2013-07-04,1435.9891304347827,29196.315217391308,43531.3695652174
2013-07-05,1754.6521739130437,29557.086956521744,43486.82608695653
2013-07-06,2073.3152173913045,29917.858695652176,43442.282608695656
2013-07-07,2391.9782608695655,30278.63043478261,43397.739130434784
2013-07-08,2710.641304347826,30639.402173913048,43353.19565217392
2013-07-09,3029.3043478260875,31000.17391304348,43308.65217391305
2013-07-10,3347.967391304348,31360.94565217392,43264.10869565218
2013-07-11,3666.630434782609,31721.71739130435,43219.565217391304
2013-07-12,3985.29347826087,32082.489130434784,43175.02173913045
2013-07-13,4303.956521739131,32443.26086956522,43130.478260869575
2013-07-14,4622.619565217392,32804.032608695656,43085.934782608696
2013-07-15,4941.282608695652,33164.804347826095,43041.39130434783
2013-07-16,5259.945652173914,33525.57608695653,42996.84782608696
2013-07-17,5578.608695652175,33886.34782608696,42952.304347826095
2013-07-18,5897.271739130435,34247.11956521739,42907.76086956522
2013-07-19,6215.934782608696,34607.89130434783,42863.21739130435
2013-07-20,6534.597826086957,34968.663043478264,42818.67391304348
2013-07-21,6853.260869565218,35329.4347826087,42774.13043478261
2013-07-22,7171.923913043479,35690.206521739135,42729.58695652174
2013-07-23,7490.58695652174,36050.97826086957,42685.04347826087
2013-07-24,7809.25,36411.75,42640.5
2013-07-25,8127.913043478262,36772.52173913044,42595.956521739135
2013-07-26,8446.576086956524,37133.29347826088,42551.41304347827
2013-07-27,8765.239130434784,37494.06521739131,42506.86956521739
2013-07-28,9083.902173913044,37854.83695652174,42462.32608695653
2013-07-29,9402.565217391304,38215.608695652176,42417.782608695656
2013-07-30,9721.228260869566,38576.38043478261,42373.239130434784
2013-07-31,10039.891304347828,38937.15217391304,42328.69565217392
2013-08-01,10358.55434782609,39297.92391304349,42284.15217391305
2013-08-02,10677.21739130435,39658.69565217392,42239.608695652176
2013-08-03,10995.88043478261,40019.46739130435,42195.06521739131
2013-08-04,11314.54347826087,40380.239130434784,42150.52173913043
2013-08-05,11633.206521739132,40741.010869565216,42105.97826086957
2013-08-06,11951.869565217392,41101.782608695656,42061.4347826087
2013-08-07,12270.532608695654,41462.554347826095,42016.89130434784
2013-08-08,12589.195652173914,41823.32608695653,41972.34782608696
2013-08-09,12907.858695652174,42184.09782608696,41927.804347826095
2013-08-10,13226.521739130436,42544.86956521739,41883.26086956522
2013-08-11,13545.184782608698,42905.641304347824,41838.71739130435
2013-08-12,13863.847826086958,43266.41304347827,41794.17391304349
2013-08-13,14182.510869565218,43627.184782608696,41749.63043478261
2013-08-14,14501.17391304348,43987.956521739135,41705.08695652174
2013-08-15,14819.836956521742,44348.72826086957,41660.54347826087
2013-08-16,15138.5,44709.5,41616.0
2013-08-17,15457.163043478262,45070.27173913044,41571.456521739135
2013-08-18,15775.826086956524,45431.04347826088,41526.91304347827
2013-08-19,16094.489130434784,45791.81521739131,41482.36956521739
2013-08-20,16413.152173913048,46152.58695652174,41437.82608695653
2013-08-21,16731.815217391304,46513.358695652176,41393.28260869565
2013-08-22,17050.478260869568,46874.130434782615,41348.739130434784
2013-08-23,17369.141304347824,47234.90217391304,41304.19565217392
2013-08-24,17687.804347826088,47595.67391304348,41259.65217391305
2013-08-25,18006.467391304348,47956.44565217393,41215.108695652176
2013-08-26,18325.130434782608,48317.21739130435,41170.56521739131
2013-08-27,18643.79347826087,48677.98913043479,41126.02173913044
2013-08-28,18962.456521739132,49038.760869565216,41081.47826086957
2013-08-29,19281.119565217396,49399.532608695656,41036.934782608696
2013-08-30,19599.782608695656,49760.30434782609,40992.391304347824
2013-08-31,19918.445652173916,50121.07608695653,40947.84782608696
2013-09-01,20237.10869565218,50481.84782608697,40903.304347826095
2013-09-02,20555.771739130436,50842.61956521739,40858.760869565216
2013-09-03,20874.4347826087,51203.39130434783,40814.21739130435
2013-09-04,21193.09782608696,51564.163043478264,40769.67391304348
2013-09-05,21511.76086956522,51924.934782608696,40725.130434782615
2013-09-06,21830.423913043483,52285.70652173914,40680.58695652174
2013-09-07,22149.08695652174,52646.478260869575,40636.04347826087
2013-09-08,22467.750000000004,53007.25000000001,40591.5
2013-09-09,22786.413043478264,53368.02173913044,40546.956521739135
2013-09-10,23105.076086956524,53728.79347826087,40502.413043478264
2013-09-11,23423.739130434784,54089.56521739131,40457.86956521739
2013-09-12,23742.402173913044,54450.33695652174,40413.32608695653
2013-09-13,24061.065217391308,54811.10869565218,40368.78260869566
2013-09-14,24379.728260869568,55171.880434782615,40324.239130434784
2013-09-15,24698.391304347828,55532.65217391305,40279.69565217392
2013-09-16,25017.054347826088,55893.42391304348,40235.15217391305
2013-09-17,25335.717391304348,56254.19565217392,40190.60869565218
2013-09-18,25654.380434782608,56614.96739130435,40146.065217391304
2013-09-19,25973.04347826087,56975.73913043479,40101.52173913044
2013-09-20,26291.706521739135,57336.51086956522,40056.97826086957
2013-09-21,26610.369565217396,57697.282608695656,40012.434782608696
2013-09-22,26929.032608695656,58058.054347826095,39967.89130434783
2013-09-23,27247.695652173916,58418.82608695653,39923.34782608696
2013-09-24,27566.35869565218,58779.59782608697,39878.80434782609
2013-09-25,27885.021739130436,59140.36956521739,39834.26086956522
2013-09-26,28203.6847826087,59501.14130434783,39789.71739130435
2013-09-27,28522.34782608696,59861.91304347827,39745.17391304349
2013-09-28,28841.01086956522,60222.684782608696,39700.630434782615
2013-09-29,29159.673913043483,60583.45652173914,39656.08695652174
2013-09-30,29478.33695652174,60944.22826086957,39611.54347826087
2013-10-01,29797.0,61305.0,39567.0
2013-10-02,29662.485849056604,61083.231132075474,39416.627358490565
2013-10-03,29527.971698113208,60861.46226415094,39266.25471698113
2013-10-04,29393.45754716981,60639.69339622642,39115.8820754717
2013-10-05,29258.943396226416,60417.92452830189,38965.50943396227
2013-10-06,29124.42924528302,60196.155660377364,38815.13679245283
2013-10-07,28989.915094339623,59974.38679245283,38664.764150943396
2013-10-08,28855.400943396227,59752.617924528306,38514.39150943396
2013-10-09,28720.886792452828,59530.84905660378,38364.018867924526
2013-10-10,28586.372641509435,59309.08018867925,38213.6462264151
2013-10-11,28451.858490566035,59087.311320754714,38063.27358490566
2013-10-12,28317.344339622643,58865.54245283019,37912.90094339623
2013-10-13,28182.830188679243,58643.77358490566,37762.52830188679
2013-10-14,28048.31603773585,58422.00471698114,37612.15566037736
2013-10-15,27913.801886792455,58200.235849056604,37461.78301886792
2013-10-16,27779.287735849062,57978.46698113208,37311.410377358494
2013-10-17,27644.773584905663,57756.698113207545,37161.03773584906
2013-10-18,27510.259433962266,57534.92924528303,37010.66509433962
2013-10-19,27375.74528301887,57313.160377358494,36860.29245283019
2013-10-20,27241.231132075474,57091.39150943397,36709.91981132075
2013-10-21,27106.71698113208,56869.622641509435,36559.54716981132
2013-10-22,26972.202830188682,56647.85377358491,36409.17452830189
2013-10-23,26837.688679245286,56426.084905660384,36258.80188679245
2013-10-24,26703.17452830189,56204.31603773586,36108.42924528302
2013-10-25,26568.66037735849,55982.547169811325,35958.056603773584
2013-10-26,26434.146226415094,55760.77830188679,35807.68396226415
2013-10-27,26299.632075471698,55539.00943396227,35657.311320754714
2013-10-28,26165.117924528302,55317.24056603773,35506.938679245286
2013-10-29,26030.603773584906,55095.47169811321,35356.56603773585
2013-10-30,25896.08962264151,54873.702830188675,35206.193396226416
2013-10-31,25761.575471698114,54651.93396226415,35055.82075471699
2013-11-01,25627.061320754714,54430.165094339616,34905.44811320755
2013-11-02,25492.54716981132,54208.3962264151,34755.07547169812
2013-11-03,25358.03301886792,53986.627358490565,34604.70283018868
2013-11-04,25223.51886792453,53764.85849056604,34454.33018867925
2013-11-05,25089.00471698113,53543.089622641506,34303.95754716981
2013-11-06,24954.490566037737,53321.32075471699,34153.584905660384
2013-11-07,24819.976415094337,53099.551886792455,34003.21226415094
2013-11-08,24685.46226415094,52877.78301886793,33852.83962264151
2013-11-09,24550.948113207545,52656.014150943396,33702.46698113208
2013-11-10,24416.43396226415,52434.24528301887,33552.09433962264
2013-11-11,24281.919811320757,52212.476415094345,33401.72169811321
2013-11-12,24147.40566037736,51990.70754716982,33251.34905660377
2013-11-13,24012.891509433965,51768.938679245286,33100.97641509434
2013-11-14,23878.37735849057,51547.16981132075,32950.60377358491
2013-11-15,23743.863207547172,51325.40094339622,32800.23113207547
2013-11-16,23609.349056603776,51103.6320754717,32649.85849056604
2013-11-17,23474.834905660377,50881.86320754717,32499.485849056604
2013-11-18,23340.320754716984,50660.09433962264,32349.113207547172
2013-11-19,23205.806603773584,50438.32547169811,32198.740566037737
2013-11-20,23071.292452830192,50216.556603773584,32048.367924528306
2013-11-21,22936.778301886792,49994.78773584906,31897.995283018867
2013-11-22,22802.2641509434,49773.01886792453,31747.622641509435
2013-11-23,22667.75,49551.25,31597.25
2013-11-24,22533.235849056604,49329.481132075474,31446.87735849057
2013-11-25,22398.721698113208,49107.71226415094,31296.504716981133
2013-11-26,22264.20754716981,48885.94339622642,31146.1320754717
2013-11-27,22129.693396226416,48664.17452830189,30995.759433962263
2013-11-28,21995.17924528302,48442.405660377364,30845.38679245283
2013-11-29,21860.665094339623,48220.63679245283,30695.014150943396
2013-11-30,21726.150943396227,47998.867924528306,30544.641509433965
2013-12-01,21591.636792452828,47777.09905660378,30394.26886792453
2013-12-02,21457.122641509435,47555.33018867925,30243.896226415094
2013-12-03,21322.608490566035,47333.561320754714,30093.52358490566
2013-12-04,21188.094339622643,47111.79245283019,29943.150943396227
2013-12-05,21053.580188679243,46890.02358490566,29792.778301886792
2013-12-06,20919.06603773585,46668.25471698114,29642.405660377364
2013-12-07,20784.551886792455,46446.485849056604,29492.03301886792
2013-12-08,20650.03773584906,46224.71698113208,29341.660377358494
2013-12-09,20515.523584905663,46002.948113207545,29191.28773584906
2013-12-10,20381.009433962266,45781.17924528303,29040.915094339627
2013-12-11,20246.49528301887,45559.410377358494,28890.542452830192
2013-12-12,20111.98113207547,45337.64150943396,28740.169811320753
2013-12-13,19977.46698113208,45115.872641509435,28589.79716981132
2013-12-14,19842.95283018868,44894.1037735849,28439.424528301886
2013-12-15,19708.438679245286,44672.334905660384,28289.051886792455
2013-12-16,19573.924528301886,44450.56603773585,28138.67924528302
2013-12-17,19439.41037735849,44228.797169811325,27988.306603773588
2013-12-18,19304.896226415094,44007.02830188679,27837.93396226415
2013-12-19,19170.382075471698,43785.259433962274,27687.561320754718
2013-12-20,19035.867924528302,43563.49056603773,27537.188679245282
2013-12-21,18901.353773584906,43341.72169811321,27386.81603773585
2013-12-22,18766.83962264151,43119.952830188675,27236.443396226412
2013-12-23,18632.325471698114,42898.18396226415,27086.07075471698
2013-12-24,18497.811320754714,42676.41509433962,26935.698113207545
2013-12-25,18363.29716981132,42454.6462264151,26785.325471698114
2013-12-26,18228.78301886792,42232.877358490565,26634.95283018868
2013-12-27,18094.26886792453,42011.10849056604,26484.580188679247
2013-12-28,17959.75471698113,41789.339622641506,26334.207547169808
2013-12-29,17825.240566037737,41567.57075471699,26183.834905660377
2013-12-30,17690.726415094337,41345.801886792455,26033.46226415094
2013-12-31,17556.21226415094,41124.03301886793,25883.089622641513
2014-01-01,17421.698113207545,40902.264150943396,25732.71698113208
2014-01-02,17287.18396226415,40680.49528301887,25582.344339622643
2014-01-03,17152.669811320757,40458.72641509434,25431.971698113208
2014-01-04,17018.15566037736,40236.95754716982,25281.599056603776
2014-01-05,16883.64150943396,40015.188679245286,25131.22641509434
2014-01-06,16749.12735849057,39793.41981132075,24980.85377358491
2014-01-07,16614.61320754717,39571.65094339622,24830.48113207547
2014-01-08,16480.099056603773,39349.8820754717,24680.10849056604
2014-01-09,16345.584905660378,39128.11320754717,24529.735849056604
2014-01-10,16211.070754716984,38906.34433962265,24379.363207547172
2014-01-11,16076.556603773584,38684.57547169811,24228.990566037737
2014-01-12,15942.04245283019,38462.806603773584,24078.617924528306
2014-01-13,15807.528301886792,38241.03773584906,23928.245283018867
2014-01-14,15673.014150943398,38019.26886792453,23777.872641509435
2014-01-15,15538.5,37797.5,23627.5
