Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Brazil,15165569913,15236854859,19926293839,23021477292,21211892260,21790035117,27062716578,30591834054,33875881876,37458898244,42327600098,49204456700,58539008786,79279057731,105136000000,123709000000,152678000000,176171000000,200801000000,224969000000,235025000000,263561000000,281682000000,203305000000,209024000000,222943000000,268137000000,294084000000,330397000000,425595000000,461952000000,602860000000,400599000000,437799000000,558112000000,785643000000,850426000000,883199000000,863723000000,599389000000,655421000000,559373000000,507963000000,558320000000,669316000000,891630000000,1107640000000,1397080000000,1695820000000,1667020000000,2208870000000,2616200000000,2465190000000,2472810000000,2455990000000,1803650000000,1796190000000
European Union,358941000000,390792000000,426910000000,470299000000,521200000000,567593000000,615287000000,661170000000,687217000000,754800000000,855292000000,967486000000,1158400000000,1470830000000,1653030000000,1927120000000,1995880000000,2260220000000,2769910000000,3382850000000,3861240000000,3416530000000,3288160000000,3187220000000,3060220000000,3162770000000,4337020000000,5366350000000,5985920000000,6111980000000,7579120000000,7865710000000,8571120000000,7815480000000,8299160000000,9626420000000,9841350000000,9289520000000,9605570000000,9590850000000,8912440000000,9009860000000,9822710000000,11957200000000,13806700000000,14441200000000,15405400000000,17795800000000,19136700000000,17101500000000,16992700000000,18352600000000,17290200000000,18026800000000,18632300000000,16411300000000,16491300000000
Japan,44307342950,53508617739,60723018684,69498131797,81749006382,90950278258,105628000000,123782000000,146601000000,172204000000,211514000000,238915000000,316393000000,429857000000,477156000000,518856000000,583143000000,717696000000,1008390000000,1049580000000,1099690000000,1215510000000,1129890000000,1232340000000,1309740000000,1400710000000,2075030000000,2514280000000,3050640000000,3052320000000,3139970000000,3578140000000,3897830000000,4466570000000,4907040000000,5449120000000,4833710000000,4414730000000,4032510000000,4562080000000,4887520000000,4303540000000,4115120000000,4445660000000,4815150000000,4755410000000,4530380000000,4515260000000,5037910000000,5231380000000,5700100000000,6157460000000,6203210000000,5155720000000,4850410000000,4394980000000,4949270000000
Philippines,6684568805,7256966966,4399827768,4875309866,5271404668,5784398977,6371459304,6809134236,7591603053,8408229699,6687204834,7408305736,8017468688,10082885603,13781139970,14893969288,17097563270,19648106122,22706155475,27502168727,32450541843,35646416953,37140163934,33212180658,31408492877,30734335449,29868339081,33195933430,37885440419,42575183906,44311593756,45417561302,52976344929,54368083953,64084460124,74119987245,82848140618,82344260571,72207025219,82995147090,81026297144,76262072022,81357602950,83908206456,91371239765,103072000000,122211000000,149360000000,174195000000,168335000000,199591000000,224143000000,250092000000,271836000000,284585000000,292774000000,304905000000
United States of America,543300000000,563300000000,605100000000,638600000000,685800000000,743700000000,815000000000,861700000000,942500000000,1019900000000,1075880000000,1167770000000,1282450000000,1428550000000,1548830000000,1688920000000,1877590000000,2085950000000,2356570000000,2632140000000,2862510000000,3210960000000,3344990000000,3638140000000,4040690000000,4346730000000,4590160000000,4870220000000,5252630000000,5657690000000,5979590000000,6174040000000,6539300000000,6878720000000,7308760000000,7664060000000,8100200000000,8608520000000,9089170000000,9660620000000,10284800000000,10621800000000,10977500000000,11510700000000,12274900000000,13093700000000,13855900000000,14477600000000,14718600000000,14418700000000,14964400000000,15517900000000,16155300000000,16691500000000,17427600000000,18120700000000,18624500000000
World,1366670000000,1421780000000,1526940000000,1643740000000,1800780000000,1961770000000,2128440000000,2264580000000,2443210000000,2690780000000,2957770000000,3266880000000,3767640000000,4591310000000,5295990000000,5897160000000,6416420000000,7257570000000,8542850000000,9925810000000,11172100000000,11464300000000,11363600000000,11623600000000,12065000000000,12689000000000,15022500000000,17091700000000,19140900000000,20092500000000,22594800000000,23927400000000,25409700000000,25858800000000,27767300000000,30872300000000,31552400000000,31435100000000,31338500000000,32510600000000,33566300000000,33353800000000,34634700000000,38892700000000,43804400000000,47428500000000,51362800000000,57858500000000,63461400000000,60167900000000,65954600000000,73280400000000,74890500000000,76993000000000,79090900000000,74781900000000,75871700000000
