Country or Area,Year,Area,Sex,Age,Record Type,Reliability,Source Year,Value,Value Footnotes
Japan,2016,Total,Female,30 - 34,Estimate - de jure,"Final figure, complete",2017,3594000,"1,2,3"
Japan,2016,Total,Female,35 - 39,Estimate - de jure,"Final figure, complete",2017,4038000,"1,2,3"
Japan,2016,Total,Female,40 - 44,Estimate - de jure,"Final figure, complete",2017,4819000,"1,2,3"
Japan,2016,Total,Female,45 - 49,Estimate - de jure,"Final figure, complete",2017,4513000,"1,2,3"
Japan,2016,Total,Female,50 - 54,Estimate - de jure,"Final figure, complete",2017,3957000,"1,2,3"
Japan,2016,Total,Female,55 - 59,Estimate - de jure,"Final figure, complete",2017,3789000,"1,2,3"
Japan,2016,Total,Female,60 - 64,Estimate - de jure,"Final figure, complete",2017,4179000,"1,2,3"
Japan,2016,Total,Female,65 - 69,Estimate - de jure,"Final figure, complete",2017,5301000,"1,2,3"
Japan,2016,Total,Female,70 - 74,Estimate - de jure,"Final figure, complete",2017,3960000,"1,2,3"
Japan,2016,Total,Female,75 - 79,Estimate - de jure,"Final figure, complete",2017,3579000,"1,2,3"
Japan,2016,Total,Female,80 - 84,Estimate - de jure,"Final figure, complete",2017,3072000,"1,2,3"
Japan,2016,Total,Female,85 - 89,Estimate - de jure,"Final figure, complete",2017,2139000,"1,2,3"
Japan,2016,Total,Female,90 - 94,Estimate - de jure,"Final figure, complete",2017,1088000,"1,2,3"
Japan,2016,Total,Female,95 - 99,Estimate - de jure,"Final figure, complete",2017,313000,"1,2,3"
Japan,2016,Total,Female,100 +,Estimate - de jure,"Final figure, complete",2017,57000,"1,2,3"
Japan,2015,Total,Both Sexes,Total,Census - de jure - complete tabulation,"Final figure, complete",2017,127094745,1
Japan,2015,Total,Both Sexes,Total,Estimate - de jure,"Final figure, complete",2016,126958000,"1,2,4"
Japan,2015,Total,Both Sexes,0,Census - de jure - complete tabulation,"Final figure, complete",2017,957190,1
Japan,2015,Total,Both Sexes,0 - 4,Census - de jure - complete tabulation,"Final figure, complete",2017,4987706,1
Japan,2015,Total,Both Sexes,0 - 4,Estimate - de jure,"Final figure, complete",2016,5200000,"1,2,4"
Japan,2015,Total,Both Sexes,1,Census - de jure - complete tabulation,"Final figure, complete",2017,970336,1
Japan,2015,Total,Both Sexes,2,Census - de jure - complete tabulation,"Final figure, complete",2017,1006691,1
Japan,2015,Total,Both Sexes,3,Census - de jure - complete tabulation,"Final figure, complete",2017,1012766,1
Japan,2015,Total,Both Sexes,4,Census - de jure - complete tabulation,"Final figure, complete",2017,1040723,1
Japan,2015,Total,Both Sexes,5,Census - de jure - complete tabulation,"Final figure, complete",2017,1043969,1
Japan,2015,Total,Both Sexes,9-May,Census - de jure - complete tabulation,"Final figure, complete",2017,5299787,1
Japan,2015,Total,Both Sexes,9-May,Estimate - de jure,"Final figure, complete",2016,5304000,"1,2,4"
Japan,2015,Total,Both Sexes,6,Census - de jure - complete tabulation,"Final figure, complete",2017,1054736,1
Japan,2015,Total,Both Sexes,7,Census - de jure - complete tabulation,"Final figure, complete",2017,1075000,1
Japan,2015,Total,Both Sexes,8,Census - de jure - complete tabulation,"Final figure, complete",2017,1066954,1
Japan,2015,Total,Both Sexes,9,Census - de jure - complete tabulation,"Final figure, complete",2017,1059128,1
Japan,2015,Total,Both Sexes,10,Census - de jure - complete tabulation,"Final figure, complete",2017,1061074,1
Japan,2015,Total,Both Sexes,14-Oct,Census - de jure - complete tabulation,"Final figure, complete",2017,5599317,1
Japan,2015,Total,Both Sexes,14-Oct,Estimate - de jure,"Final figure, complete",2016,5639000,"1,2,4"
Japan,2015,Total,Both Sexes,11,Census - de jure - complete tabulation,"Final figure, complete",2017,1098898,1
Japan,2015,Total,Both Sexes,12,Census - de jure - complete tabulation,"Final figure, complete",2017,1118555,1
Japan,2015,Total,Both Sexes,13,Census - de jure - complete tabulation,"Final figure, complete",2017,1152224,1
Japan,2015,Total,Both Sexes,14,Census - de jure - complete tabulation,"Final figure, complete",2017,1168566,1
Japan,2015,Total,Both Sexes,15,Census - de jure - complete tabulation,"Final figure, complete",2017,1195559,1
Japan,2015,Total,Both Sexes,15 - 19,Census - de jure - complete tabulation,"Final figure, complete",2017,6008388,1
Japan,2015,Total,Both Sexes,15 - 19,Estimate - de jure,"Final figure, complete",2016,5985000,"1,2,4"
Japan,2015,Total,Both Sexes,16,Census - de jure - complete tabulation,"Final figure, complete",2017,1196987,1
Japan,2015,Total,Both Sexes,17,Census - de jure - complete tabulation,"Final figure, complete",2017,1214737,1
Japan,2015,Total,Both Sexes,18,Census - de jure - complete tabulation,"Final figure, complete",2017,1206550,1
Japan,2015,Total,Both Sexes,19,Census - de jure - complete tabulation,"Final figure, complete",2017,1194555,1
Japan,2015,Total,Both Sexes,20,Census - de jure - complete tabulation,"Final figure, complete",2017,1209293,1
Japan,2015,Total,Both Sexes,20 - 24,Census - de jure - complete tabulation,"Final figure, complete",2017,5968127,1
Japan,2015,Total,Both Sexes,20 - 24,Estimate - de jure,"Final figure, complete",2016,6241000,"1,2,4"
Japan,2015,Total,Both Sexes,21,Census - de jure - complete tabulation,"Final figure, complete",2017,1200645,1
Japan,2015,Total,Both Sexes,22,Census - de jure - complete tabulation,"Final figure, complete",2017,1176156,1
Japan,2015,Total,Both Sexes,23,Census - de jure - complete tabulation,"Final figure, complete",2017,1192480,1
Japan,2015,Total,Both Sexes,24,Census - de jure - complete tabulation,"Final figure, complete",2017,1189553,1
Japan,2015,Total,Both Sexes,25,Census - de jure - complete tabulation,"Final figure, complete",2017,1212699,1
Japan,2015,Total,Both Sexes,25 - 29,Census - de jure - complete tabulation,"Final figure, complete",2017,6409612,1
Japan,2015,Total,Both Sexes,25 - 29,Estimate - de jure,"Final figure, complete",2016,6571000,"1,2,4"
Japan,2015,Total,Both Sexes,26,Census - de jure - complete tabulation,"Final figure, complete",2017,1242780,1
Japan,2015,Total,Both Sexes,27,Census - de jure - complete tabulation,"Final figure, complete",2017,1284897,1
Japan,2015,Total,Both Sexes,28,Census - de jure - complete tabulation,"Final figure, complete",2017,1321987,1
Japan,2015,Total,Both Sexes,29,Census - de jure - complete tabulation,"Final figure, complete",2017,1347249,1
Japan,2015,Total,Both Sexes,30,Census - de jure - complete tabulation,"Final figure, complete",2017,1402069,1
Japan,2015,Total,Both Sexes,30 - 34,Census - de jure - complete tabulation,"Final figure, complete",2017,7290878,1
Japan,2015,Total,Both Sexes,30 - 34,Estimate - de jure,"Final figure, complete",2016,7347000,"1,2,4"
Japan,2015,Total,Both Sexes,31,Census - de jure - complete tabulation,"Final figure, complete",2017,1448934,1
Japan,2015,Total,Both Sexes,32,Census - de jure - complete tabulation,"Final figure, complete",2017,1471831,1
Japan,2015,Total,Both Sexes,33,Census - de jure - complete tabulation,"Final figure, complete",2017,1475341,1
Japan,2015,Total,Both Sexes,34,Census - de jure - complete tabulation,"Final figure, complete",2017,1492703,1
Japan,2015,Total,Both Sexes,35,Census - de jure - complete tabulation,"Final figure, complete",2017,1557849,1
Japan,2015,Total,Both Sexes,35 - 39,Census - de jure - complete tabulation,"Final figure, complete",2017,8316157,1
Japan,2015,Total,Both Sexes,35 - 39,Estimate - de jure,"Final figure, complete",2016,8423000,"1,2,4"
Japan,2015,Total,Both Sexes,36,Census - de jure - complete tabulation,"Final figure, complete",2017,1599318,1
Japan,2015,Total,Both Sexes,37,Census - de jure - complete tabulation,"Final figure, complete",2017,1662613,1
Japan,2015,Total,Both Sexes,38,Census - de jure - complete tabulation,"Final figure, complete",2017,1707052,1
Japan,2015,Total,Both Sexes,39,Census - de jure - complete tabulation,"Final figure, complete",2017,1789325,1
Japan,2015,Total,Both Sexes,40,Census - de jure - complete tabulation,"Final figure, complete",2017,1868236,1
Japan,2015,Total,Both Sexes,40 - 44,Census - de jure - complete tabulation,"Final figure, complete",2017,9732218,1
Japan,2015,Total,Both Sexes,40 - 44,Estimate - de jure,"Final figure, complete",2016,9798000,"1,2,4"
Japan,2015,Total,Both Sexes,41,Census - de jure - complete tabulation,"Final figure, complete",2017,1971714,1
Japan,2015,Total,Both Sexes,42,Census - de jure - complete tabulation,"Final figure, complete",2017,2005891,1
Japan,2015,Total,Both Sexes,43,Census - de jure - complete tabulation,"Final figure, complete",2017,1969474,1
Japan,2015,Total,Both Sexes,44,Census - de jure - complete tabulation,"Final figure, complete",2017,1916903,1
Japan,2015,Total,Both Sexes,45,Census - de jure - complete tabulation,"Final figure, complete",2017,1859279,1
Japan,2015,Total,Both Sexes,45 - 49,Census - de jure - complete tabulation,"Final figure, complete",2017,8662804,1
Japan,2015,Total,Both Sexes,45 - 49,Estimate - de jure,"Final figure, complete",2016,8708000,"1,2,4"
Japan,2015,Total,Both Sexes,46,Census - de jure - complete tabulation,"Final figure, complete",2017,1830534,1
Japan,2015,Total,Both Sexes,47,Census - de jure - complete tabulation,"Final figure, complete",2017,1790075,1
Japan,2015,Total,Both Sexes,48,Census - de jure - complete tabulation,"Final figure, complete",2017,1786807,1
Japan,2015,Total,Both Sexes,49,Census - de jure - complete tabulation,"Final figure, complete",2017,1396109,1
Japan,2015,Total,Both Sexes,50,Census - de jure - complete tabulation,"Final figure, complete",2017,1723238,1
Japan,2015,Total,Both Sexes,50 - 54,Census - de jure - complete tabulation,"Final figure, complete",2017,7930296,1
Japan,2015,Total,Both Sexes,50 - 54,Estimate - de jure,"Final figure, complete",2016,7906000,"1,2,4"
Japan,2015,Total,Both Sexes,51,Census - de jure - complete tabulation,"Final figure, complete",2017,1614331,1
Japan,2015,Total,Both Sexes,52,Census - de jure - complete tabulation,"Final figure, complete",2017,1573531,1
Japan,2015,Total,Both Sexes,53,Census - de jure - complete tabulation,"Final figure, complete",2017,1521404,1
Japan,2015,Total,Both Sexes,54,Census - de jure - complete tabulation,"Final figure, complete",2017,1497792,1
Japan,2015,Total,Both Sexes,55,Census - de jure - complete tabulation,"Final figure, complete",2017,1507869,1
Japan,2015,Total,Both Sexes,55 - 59,Census - de jure - complete tabulation,"Final figure, complete",2017,7515246,1
Japan,2015,Total,Both Sexes,55 - 59,Estimate - de jure,"Final figure, complete",2016,7576000,"1,2,4"
Japan,2015,Total,Both Sexes,56,Census - de jure - complete tabulation,"Final figure, complete",2017,1535952,1
Japan,2015,Total,Both Sexes,57,Census - de jure - complete tabulation,"Final figure, complete",2017,1494037,1
Japan,2015,Total,Both Sexes,58,Census - de jure - complete tabulation,"Final figure, complete",2017,1451956,1
Japan,2015,Total,Both Sexes,59,Census - de jure - complete tabulation,"Final figure, complete",2017,1525432,1
Japan,2015,Total,Both Sexes,60,Census - de jure - complete tabulation,"Final figure, complete",2017,1575973,1
Japan,2015,Total,Both Sexes,60 - 64,Census - de jure - complete tabulation,"Final figure, complete",2017,8455010,1
Japan,2015,Total,Both Sexes,60 - 64,Estimate - de jure,"Final figure, complete",2016,8605000,"1,2,4"
Japan,2015,Total,Both Sexes,61,Census - de jure - complete tabulation,"Final figure, complete",2017,1574411,1
Japan,2015,Total,Both Sexes,62,Census - de jure - complete tabulation,"Final figure, complete",2017,1671640,1
Japan,2015,Total,Both Sexes,63,Census - de jure - complete tabulation,"Final figure, complete",2017,1766553,1
Japan,2015,Total,Both Sexes,64,Census - de jure - complete tabulation,"Final figure, complete",2017,1866433,1
Japan,2015,Total,Both Sexes,65,Census - de jure - complete tabulation,"Final figure, complete",2017,1998950,1
Japan,2015,Total,Both Sexes,65 - 69,Census - de jure - complete tabulation,"Final figure, complete",2017,9643867,1
Japan,2015,Total,Both Sexes,65 - 69,Estimate - de jure,"Final figure, complete",2016,9570000,"1,2,4"
Japan,2015,Total,Both Sexes,66,Census - de jure - complete tabulation,"Final figure, complete",2017,2183550,1
Japan,2015,Total,Both Sexes,67,Census - de jure - complete tabulation,"Final figure, complete",2017,2156356,1
Japan,2015,Total,Both Sexes,68,Census - de jure - complete tabulation,"Final figure, complete",2017,2037931,1
Japan,2015,Total,Both Sexes,69,Census - de jure - complete tabulation,"Final figure, complete",2017,1267080,1
Japan,2015,Total,Both Sexes,70,Census - de jure - complete tabulation,"Final figure, complete",2017,1351789,1
Japan,2015,Total,Both Sexes,70 - 74,Census - de jure - complete tabulation,"Final figure, complete",2017,7695811,1
Japan,2015,Total,Both Sexes,70 - 74,Estimate - de jure,"Final figure, complete",2016,7821000,"1,2,4"
Japan,2015,Total,Both Sexes,71,Census - de jure - complete tabulation,"Final figure, complete",2017,1634722,1
Japan,2015,Total,Both Sexes,72,Census - de jure - complete tabulation,"Final figure, complete",2017,1570688,1
Japan,2015,Total,Both Sexes,73,Census - de jure - complete tabulation,"Final figure, complete",2017,1600118,1
Japan,2015,Total,Both Sexes,74,Census - de jure - complete tabulation,"Final figure, complete",2017,1538494,1
Japan,2015,Total,Both Sexes,75,Census - de jure - complete tabulation,"Final figure, complete",2017,1380364,1
Japan,2015,Total,Both Sexes,75 - 79,Census - de jure - complete tabulation,"Final figure, complete",2017,6276856,1
Japan,2015,Total,Both Sexes,75 - 79,Estimate - de jure,"Final figure, complete",2016,6332000,"1,2,4"
Japan,2015,Total,Both Sexes,76,Census - de jure - complete tabulation,"Final figure, complete",2017,1184257,1
Japan,2015,Total,Both Sexes,77,Census - de jure - complete tabulation,"Final figure, complete",2017,1242050,1
Japan,2015,Total,Both Sexes,78,Census - de jure - complete tabulation,"Final figure, complete",2017,1249049,1
Japan,2015,Total,Both Sexes,79,Census - de jure - complete tabulation,"Final figure, complete",2017,1221136,1
Japan,2015,Total,Both Sexes,80,Census - de jure - complete tabulation,"Final figure, complete",2017,1133614,1
Japan,2015,Total,Both Sexes,80 - 84,Census - de jure - complete tabulation,"Final figure, complete",2017,4961420,1
Japan,2015,Total,Both Sexes,80 - 84,Estimate - de jure,"Final figure, complete",2016,4978000,"1,2,4"
Japan,2015,Total,Both Sexes,81,Census - de jure - complete tabulation,"Final figure, complete",2017,1038756,1
Japan,2015,Total,Both Sexes,82,Census - de jure - complete tabulation,"Final figure, complete",2017,1001491,1
Japan,2015,Total,Both Sexes,83,Census - de jure - complete tabulation,"Final figure, complete",2017,932746,1
Japan,2015,Total,Both Sexes,84,Census - de jure - complete tabulation,"Final figure, complete",2017,854813,1
Japan,2015,Total,Both Sexes,85,Census - de jure - complete tabulation,"Final figure, complete",2017,761148,1
Japan,2015,Total,Both Sexes,85 - 89,Census - de jure - complete tabulation,"Final figure, complete",2017,3117257,1
Japan,2015,Total,Both Sexes,85 - 89,Estimate - de jure,"Final figure, complete",2016,3141000,"1,2,4"
Japan,2015,Total,Both Sexes,86,Census - de jure - complete tabulation,"Final figure, complete",2017,695443,1
Japan,2015,Total,Both Sexes,87,Census - de jure - complete tabulation,"Final figure, complete",2017,624443,1
Japan,2015,Total,Both Sexes,88,Census - de jure - complete tabulation,"Final figure, complete",2017,551611,1
Japan,2015,Total,Both Sexes,89,Census - de jure - complete tabulation,"Final figure, complete",2017,484612,1
Japan,2015,Total,Both Sexes,90,Census - de jure - complete tabulation,"Final figure, complete",2017,402687,1
Japan,2015,Total,Both Sexes,90 - 94,Census - de jure - complete tabulation,"Final figure, complete",2017,1349120,1
Japan,2015,Total,Both Sexes,90 - 94,Estimate - de jure,"Final figure, complete",2016,1369000,"1,2,4"
Japan,2015,Total,Both Sexes,91,Census - de jure - complete tabulation,"Final figure, complete",2017,322228,1
Japan,2015,Total,Both Sexes,92,Census - de jure - complete tabulation,"Final figure, complete",2017,262599,1
Japan,2015,Total,Both Sexes,93,Census - de jure - complete tabulation,"Final figure, complete",2017,202949,1
Japan,2015,Total,Both Sexes,94,Census - de jure - complete tabulation,"Final figure, complete",2017,158657,1
Japan,2015,Total,Both Sexes,95,Census - de jure - complete tabulation,"Final figure, complete",2017,131322,1
Japan,2015,Total,Both Sexes,95 - 99,Census - de jure - complete tabulation,"Final figure, complete",2017,359347,1
Japan,2015,Total,Both Sexes,95 - 99,Estimate - de jure,"Final figure, complete",2016,383000,"1,2,4"
Japan,2015,Total,Both Sexes,96,Census - de jure - complete tabulation,"Final figure, complete",2017,81927,1
Japan,2015,Total,Both Sexes,97,Census - de jure - complete tabulation,"Final figure, complete",2017,64126,1
Japan,2015,Total,Both Sexes,98,Census - de jure - complete tabulation,"Final figure, complete",2017,47359,1
Japan,2015,Total,Both Sexes,99,Census - de jure - complete tabulation,"Final figure, complete",2017,34613,1
Japan,2015,Total,Both Sexes,100 +,Census - de jure - complete tabulation,"Final figure, complete",2017,61763,1
Japan,2015,Total,Both Sexes,100 +,Estimate - de jure,"Final figure, complete",2016,63000,"1,2,4"
Japan,2015,Total,Both Sexes,Unknown,Census - de jure - complete tabulation,"Final figure, complete",2017,1453758,1
Japan,2015,Total,Male,Total,Census - de jure - complete tabulation,"Final figure, complete",2017,61841738,1
Japan,2015,Total,Male,Total,Estimate - de jure,"Final figure, complete",2016,61729000,"1,2,4"
Japan,2015,Total,Male,0,Census - de jure - complete tabulation,"Final figure, complete",2017,488646,1
Japan,2015,Total,Male,0 - 4,Census - de jure - complete tabulation,"Final figure, complete",2017,2550921,1
Japan,2015,Total,Male,0 - 4,Estimate - de jure,"Final figure, complete",2016,2667000,"1,2,4"
Japan,2015,Total,Male,1,Census - de jure - complete tabulation,"Final figure, complete",2017,496812,1
Japan,2015,Total,Male,2,Census - de jure - complete tabulation,"Final figure, complete",2017,514340,1
Japan,2015,Total,Male,3,Census - de jure - complete tabulation,"Final figure, complete",2017,517889,1
Japan,2015,Total,Male,4,Census - de jure - complete tabulation,"Final figure, complete",2017,533234,1
Japan,2015,Total,Male,5,Census - de jure - complete tabulation,"Final figure, complete",2017,535281,1
Japan,2015,Total,Male,9-May,Census - de jure - complete tabulation,"Final figure, complete",2017,2714591,1
Japan,2015,Total,Male,9-May,Estimate - de jure,"Final figure, complete",2016,2715000,"1,2,4"
Japan,2015,Total,Male,6,Census - de jure - complete tabulation,"Final figure, complete",2017,540338,1
Japan,2015,Total,Male,7,Census - de jure - complete tabulation,"Final figure, complete",2017,550486,1
Japan,2015,Total,Male,8,Census - de jure - complete tabulation,"Final figure, complete",2017,546601,1
Japan,2015,Total,Male,9,Census - de jure - complete tabulation,"Final figure, complete",2017,541885,1
Japan,2015,Total,Male,10,Census - de jure - complete tabulation,"Final figure, complete",2017,543132,1
Japan,2015,Total,Male,14-Oct,Census - de jure - complete tabulation,"Final figure, complete",2017,2868024,1
Japan,2015,Total,Male,14-Oct,Estimate - de jure,"Final figure, complete",2016,2888000,"1,2,4"
Japan,2015,Total,Male,11,Census - de jure - complete tabulation,"Final figure, complete",2017,561901,1
Japan,2015,Total,Male,12,Census - de jure - complete tabulation,"Final figure, complete",2017,573235,1
Japan,2015,Total,Male,13,Census - de jure - complete tabulation,"Final figure, complete",2017,590503,1
Japan,2015,Total,Male,14,Census - de jure - complete tabulation,"Final figure, complete",2017,599253,1
Japan,2015,Total,Male,15,Census - de jure - complete tabulation,"Final figure, complete",2017,615314,1
Japan,2015,Total,Male,15 - 19,Census - de jure - complete tabulation,"Final figure, complete",2017,3085416,1
Japan,2015,Total,Male,15 - 19,Estimate - de jure,"Final figure, complete",2016,3064000,"1,2,4"
Japan,2015,Total,Male,16,Census - de jure - complete tabulation,"Final figure, complete",2017,615201,1
Japan,2015,Total,Male,17,Census - de jure - complete tabulation,"Final figure, complete",2017,624601,1
Japan,2015,Total,Male,18,Census - de jure - complete tabulation,"Final figure, complete",2017,618127,1
Japan,2015,Total,Male,19,Census - de jure - complete tabulation,"Final figure, complete",2017,612173,1
Japan,2015,Total,Male,20,Census - de jure - complete tabulation,"Final figure, complete",2017,618294,1
Japan,2015,Total,Male,20 - 24,Census - de jure - complete tabulation,"Final figure, complete",2017,3046392,1
Japan,2015,Total,Male,20 - 24,Estimate - de jure,"Final figure, complete",2016,3213000,"1,2,4"
Japan,2015,Total,Male,21,Census - de jure - complete tabulation,"Final figure, complete",2017,613685,1
Japan,2015,Total,Male,22,Census - de jure - complete tabulation,"Final figure, complete",2017,600363,1
Japan,2015,Total,Male,23,Census - de jure - complete tabulation,"Final figure, complete",2017,608260,1
Japan,2015,Total,Male,24,Census - de jure - complete tabulation,"Final figure, complete",2017,605790,1
Japan,2015,Total,Male,25,Census - de jure - complete tabulation,"Final figure, complete",2017,616202,1
Japan,2015,Total,Male,25 - 29,Census - de jure - complete tabulation,"Final figure, complete",2017,3255717,1
Japan,2015,Total,Male,25 - 29,Estimate - de jure,"Final figure, complete",2016,3367000,"1,2,4"
Japan,2015,Total,Male,26,Census - de jure - complete tabulation,"Final figure, complete",2017,631361,1
Japan,2015,Total,Male,27,Census - de jure - complete tabulation,"Final figure, complete",2017,653268,1
Japan,2015,Total,Male,28,Census - de jure - complete tabulation,"Final figure, complete",2017,670795,1
Japan,2015,Total,Male,29,Census - de jure - complete tabulation,"Final figure, complete",2017,684091,1
