"Reference Area","Sex","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"United States of America","Female","227830","235873","236361","233491","236944","242288","250063","245583","234729","221392"
"United States of America","All genders","293951","303917","303495","300061","303423","309685","319077","314368","300540","283933"

