Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Brazil,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,110,101.9,102.4,101.3,...,95.2,96.7,96.7,...,95.3,95.6,101.9,102,99.7,...,...
European Union,77.2,77.2,78,79.6,81.4,82.1,83,84.1,84.7,85.4,85.9,86.4,87,87.5,87.9,88.6,90.3,91.1,91.6,92.2,92.6,93.1,94.3,98.4,101.1,101.4,101.7,101.3,99.3,100.1,101,102.2,103.3,103.7,102.4,104.1,103.5,103.5,104.2,104.5,105.9,105.2,105,111.8,112,112,112,...
Japan,...,85,86.5,88.3,90,91.1,91.9,92.7,93.1,93,91.6,92.9,93.7,93.7,93.3,93.6,94.6,94.4,94.4,94.5,94.7,96.7,97.3,97,99.8,99.6,99.8,...,99.3,99.2,99.4,99.7,99.7,99,98.3,98.2,98.5,98.5,99.1,99.6,100.4,100.9,101.2,101.5,101.4,102.1,...,...
Philippines,...,47.5,48.8,49.8,50.8,53.4,56.4,60.3,63.3,64.7,65.5,64.3,63.1,65.1,66.1,67.2,63.6,66.4,66.5,69.5,72,71.5,72.9,74.9,76,77.3,76.3,76,74.7,74.4,...,74.7,79.1,81.2,83.3,82.9,81.2,81.2,82,84.1,...,...,...,87.6,...,88.3,...,...
United States of America,...,84,85,...,85.3,85.4,85.6,85.7,85.4,78.8,91.1,89.8,92.9,93,94.9,93.8,94.8,95,...,...,91.3,91.3,...,96.2,97.6,96.4,96.3,...,96.3,95.3,94,94.4,93.2,94.5,94.7,94.5,94,94.5,94.4,93.9,93,93.7,94.1,94.7,95.9,97.2,...,...
World,41.3,42.8,44.7,46,46.2,46.6,48.2,49.2,49,50,49.4,48.6,47.8,47.8,48.1,47,49.9,50.7,51,51.1,51.4,52.5,53.8,55.2,56.1,57.1,58,58.8,59,59.1,59.8,60.2,61.1,62.1,63,64,65.1,66.8,68.4,69.3,71.1,72.6,73.8,75.3,76.2,76.2,76,...
